,Cash balance,Unrealized value,Total asset,Rewards,CumReward,Position,Unit
2009-04-03,-2.200000000000003,21.6,19.4,1.0,-27.799999999999997,2,2.0
2009-04-06,-2.200000000000003,21.6,19.4,1.0,-26.799999999999997,2,0.0
2009-04-07,-2.200000000000003,19.6,17.4,-1.0,-27.799999999999997,2,-2.0
2009-04-08,-2.200000000000003,17.6,15.399999999999999,-1.0,-28.799999999999997,2,-2.0
2009-04-09,-2.200000000000003,23.6,21.4,1.0,-27.799999999999997,2,6.0
2009-04-13,-2.200000000000003,23.6,21.4,1.0,-26.799999999999997,2,0.0
2009-04-14,-2.200000000000003,23.6,21.4,1.0,-25.799999999999997,2,0.0
2009-04-15,-2.200000000000003,23.6,21.4,1.0,-24.799999999999997,2,0.0
2009-04-16,-2.200000000000003,25.6,23.4,1.0,-23.799999999999997,2,2.0
2009-04-17,-2.200000000000003,29.6,27.4,1.0,-22.799999999999997,2,4.0
2009-04-20,-2.200000000000003,25.6,23.4,-3.0,-25.799999999999997,2,-4.0
2009-04-21,-2.200000000000003,21.6,19.4,-3.0,-28.799999999999997,2,-4.0
2009-04-22,-2.200000000000003,23.6,21.4,1.0,-27.799999999999997,2,2.0
2009-04-23,-2.200000000000003,23.6,21.4,1.0,-26.799999999999997,2,0.0
2009-04-24,-2.200000000000003,27.6,25.4,1.0,-25.799999999999997,2,4.0
2009-04-27,-2.200000000000003,33.6,31.4,1.0,-24.799999999999997,2,6.0
2009-04-28,-2.200000000000003,33.6,31.4,1.0,-23.799999999999997,2,0.0
2009-04-29,-2.200000000000003,33.6,31.4,1.0,-22.799999999999997,2,0.0
2009-04-30,-2.200000000000003,37.6,35.4,1.0,-21.799999999999997,2,4.0
2009-05-01,-2.200000000000003,35.6,33.4,-1.0,-22.799999999999997,2,-2.0
2009-05-04,-2.200000000000003,37.6,35.4,1.0,-21.799999999999997,2,2.0
2009-05-05,-2.200000000000003,37.6,35.4,1.0,-20.799999999999997,2,0.0
2009-05-06,-2.200000000000003,39.6,37.4,1.0,-19.799999999999997,2,2.0
2009-05-07,-2.200000000000003,39.6,37.4,1.0,-18.799999999999997,2,0.0
2009-05-08,-2.200000000000003,39.6,37.4,1.0,-17.799999999999997,2,0.0
2009-05-11,-2.200000000000003,41.6,39.4,1.0,-16.799999999999997,2,2.0
2009-05-12,-2.200000000000003,41.6,39.4,1.0,-15.799999999999997,2,0.0
2009-05-13,-2.200000000000003,37.6,35.4,-3.0,-18.799999999999997,2,-4.0
2009-05-14,-2.200000000000003,35.6,33.4,-1.0,-19.799999999999997,2,-2.0
2009-05-15,-2.200000000000003,35.6,33.4,1.0,-18.799999999999997,2,0.0
2009-05-18,-2.200000000000003,37.6,35.4,1.0,-17.799999999999997,2,2.0
2009-05-19,-2.200000000000003,39.6,37.4,1.0,-16.799999999999997,2,2.0
2009-05-20,-2.200000000000003,39.6,37.4,1.0,-15.799999999999997,2,0.0
2009-05-21,-2.200000000000003,35.6,33.4,-3.0,-18.799999999999997,2,-4.0
2009-05-22,-2.200000000000003,33.6,31.4,-1.0,-19.799999999999997,2,-2.0
2009-05-26,-2.200000000000003,31.6,29.4,-1.0,-20.799999999999997,2,-2.0
2009-05-27,-2.200000000000003,37.6,35.4,1.0,-19.799999999999997,2,6.0
2009-05-28,-2.200000000000003,31.6,29.4,-5.0,-24.799999999999997,2,-6.0
2009-05-29,-2.200000000000003,33.6,31.4,1.0,-23.799999999999997,2,2.0
2009-06-01,-2.200000000000003,37.6,35.4,1.0,-22.799999999999997,2,4.0
2009-06-02,-2.200000000000003,39.6,37.4,1.0,-21.799999999999997,2,2.0
2009-06-03,-2.200000000000003,41.6,39.4,1.0,-20.799999999999997,2,2.0
2009-06-04,-2.200000000000003,41.6,39.4,1.0,-19.799999999999997,2,0.0
2009-06-05,-2.200000000000003,43.6,41.4,1.0,-18.799999999999997,2,2.0
2009-06-08,-2.200000000000003,45.6,43.4,1.0,-17.799999999999997,2,2.0
2009-06-09,-2.200000000000003,43.6,41.4,-1.0,-18.799999999999997,2,-2.0
2009-06-10,-2.200000000000003,43.6,41.4,1.0,-17.799999999999997,2,0.0
2009-06-11,-2.200000000000003,43.6,41.4,1.0,-16.799999999999997,2,0.0
2009-06-12,-2.200000000000003,43.6,41.4,1.0,-15.799999999999997,2,0.0
2009-06-15,-2.200000000000003,43.6,41.4,1.0,-14.799999999999997,2,0.0
2009-06-16,-2.200000000000003,41.6,39.4,-1.0,-15.799999999999997,2,-2.0
2009-06-17,-2.200000000000003,39.6,37.4,-1.0,-16.799999999999997,2,-2.0
2009-06-18,-2.200000000000003,39.6,37.4,1.0,-15.799999999999997,2,0.0
2009-06-19,-2.200000000000003,41.6,39.4,1.0,-14.799999999999997,2,2.0
2009-06-22,-2.200000000000003,39.6,37.4,-1.0,-15.799999999999997,2,-2.0
2009-06-23,-2.200000000000003,35.6,33.4,-3.0,-18.799999999999997,2,-4.0
2009-06-24,-2.200000000000003,35.6,33.4,1.0,-17.799999999999997,2,0.0
2009-06-25,-2.200000000000003,35.6,33.4,1.0,-16.799999999999997,2,0.0
2009-06-26,-2.200000000000003,39.6,37.4,1.0,-15.799999999999997,2,4.0
2009-06-29,-2.200000000000003,41.6,39.4,1.0,-14.799999999999997,2,2.0
2009-06-30,-2.200000000000003,41.6,39.4,1.0,-13.799999999999997,2,0.0
2009-07-01,-2.200000000000003,43.6,41.4,1.0,-12.799999999999997,2,2.0
2009-07-02,-2.200000000000003,41.6,39.4,-1.0,-13.799999999999997,2,-2.0
2009-07-06,-2.200000000000003,41.6,39.4,1.0,-12.799999999999997,2,0.0
2009-07-07,-2.200000000000003,45.6,43.4,1.0,-11.799999999999997,2,4.0
2009-07-08,-2.200000000000003,39.6,37.4,-5.0,-16.799999999999997,2,-6.0
2009-07-09,-2.200000000000003,39.6,37.4,1.0,-15.799999999999997,2,0.0
2009-07-10,-2.200000000000003,39.6,37.4,1.0,-14.799999999999997,2,0.0
2009-07-13,-2.200000000000003,41.6,39.4,1.0,-13.799999999999997,2,2.0
2009-07-14,-2.200000000000003,43.6,41.4,1.0,-12.799999999999997,2,2.0
2009-07-15,-2.200000000000003,45.6,43.4,1.0,-11.799999999999997,2,2.0
2009-07-16,-2.200000000000003,47.6,45.4,1.0,-10.799999999999997,2,2.0
2009-07-17,-2.200000000000003,51.6,49.4,1.0,-9.799999999999997,2,4.0
2009-07-20,-2.200000000000003,51.6,49.4,1.0,-8.799999999999997,2,0.0
2009-07-21,-2.200000000000003,53.6,51.4,1.0,-7.799999999999997,2,2.0
2009-07-22,-2.200000000000003,53.6,51.4,1.0,-6.799999999999997,2,0.0
2009-07-23,-2.200000000000003,59.6,57.4,1.0,-5.799999999999997,2,6.0
2009-07-24,-2.200000000000003,67.6,65.39999999999999,1.0,-4.799999999999997,2,7.999999999999993
2009-07-27,-2.200000000000003,67.6,65.39999999999999,1.0,-3.799999999999997,2,0.0
2009-07-28,-2.200000000000003,67.6,65.39999999999999,1.0,-2.799999999999997,2,0.0
2009-07-29,-2.200000000000003,67.6,65.39999999999999,1.0,-1.7999999999999972,2,0.0
2009-07-30,-2.200000000000003,67.6,65.39999999999999,1.0,-0.7999999999999972,2,0.0
2009-07-31,-2.200000000000003,69.6,67.39999999999999,1.0,0.20000000000000284,2,2.0
2009-08-03,-2.200000000000003,73.6,71.39999999999999,1.0,1.2000000000000028,2,4.0
2009-08-04,-2.200000000000003,73.6,71.39999999999999,1.0,2.200000000000003,2,0.0
2009-08-05,-2.200000000000003,75.6,73.39999999999999,1.0,3.200000000000003,2,2.0
2009-08-06,-2.200000000000003,73.6,71.39999999999999,-1.0,2.200000000000003,2,-2.0
2009-08-07,-2.200000000000003,75.6,73.39999999999999,1.0,3.200000000000003,2,2.0
2009-08-10,-2.200000000000003,75.6,73.39999999999999,1.0,4.200000000000003,2,0.0
2009-08-11,-2.200000000000003,71.6,69.39999999999999,-3.0,1.2000000000000028,2,-4.0
2009-08-12,-2.200000000000003,71.6,69.39999999999999,1.0,2.200000000000003,2,0.0
2009-08-13,-2.200000000000003,75.6,73.39999999999999,1.0,3.200000000000003,2,4.0
2009-08-14,-2.200000000000003,75.6,73.39999999999999,1.0,4.200000000000003,2,0.0
2009-08-17,-2.200000000000003,69.6,67.39999999999999,-5.0,-0.7999999999999972,2,-6.0
2009-08-18,-2.200000000000003,69.6,67.39999999999999,1.0,0.20000000000000284,2,0.0
2009-08-19,-2.200000000000003,67.6,65.39999999999999,-1.0,-0.7999999999999972,2,-2.0
2009-08-20,-2.200000000000003,71.6,69.39999999999999,1.0,0.20000000000000284,2,4.0
2009-08-21,-2.200000000000003,73.6,71.39999999999999,1.0,1.2000000000000028,2,2.0
2009-08-24,-2.200000000000003,75.6,73.39999999999999,1.0,2.200000000000003,2,2.0
2009-08-25,-2.200000000000003,75.6,73.39999999999999,1.0,3.200000000000003,2,0.0
2009-08-26,-2.200000000000003,75.6,73.39999999999999,1.0,4.200000000000003,2,0.0
2009-08-27,-2.200000000000003,73.6,71.39999999999999,-1.0,3.200000000000003,2,-2.0
2009-08-28,-2.200000000000003,73.6,71.39999999999999,1.0,4.200000000000003,2,0.0
2009-08-31,-2.200000000000003,73.6,71.39999999999999,1.0,5.200000000000003,2,0.0
2009-09-01,-2.200000000000003,73.6,71.39999999999999,1.0,6.200000000000003,2,0.0
2009-09-02,-2.200000000000003,69.6,67.39999999999999,-3.0,3.200000000000003,2,-4.0
2009-09-03,-2.200000000000003,71.6,69.39999999999999,1.0,4.200000000000003,2,2.0
2009-09-04,-2.200000000000003,71.6,69.39999999999999,1.0,5.200000000000003,2,0.0
2009-09-08,-2.200000000000003,73.6,71.39999999999999,1.0,6.200000000000003,2,2.0
2009-09-09,-2.200000000000003,73.6,71.39999999999999,1.0,7.200000000000003,2,0.0
2009-09-10,-2.200000000000003,77.6,75.39999999999999,1.0,8.200000000000003,2,4.0
2009-09-11,-2.200000000000003,79.6,77.39999999999999,1.0,9.200000000000003,2,2.0
2009-09-14,-2.200000000000003,79.6,77.39999999999999,1.0,10.200000000000003,2,0.0
2009-09-15,-2.200000000000003,81.6,79.39999999999999,1.0,11.200000000000003,2,2.0
2009-09-16,-2.200000000000003,81.6,79.39999999999999,1.0,12.200000000000003,2,0.0
2009-09-17,-2.200000000000003,83.6,81.39999999999999,1.0,13.200000000000003,2,2.0
2009-09-18,-2.200000000000003,81.6,79.39999999999999,-1.0,12.200000000000003,2,-2.0
2009-09-21,-2.200000000000003,79.6,77.39999999999999,-1.0,11.200000000000003,2,-2.0
2009-09-22,-2.200000000000003,81.6,79.39999999999999,1.0,12.200000000000003,2,2.0
2009-09-23,-2.200000000000003,81.6,79.39999999999999,1.0,13.200000000000003,2,0.0
2009-09-24,-2.200000000000003,81.6,79.39999999999999,1.0,14.200000000000003,2,0.0
2009-09-25,-2.200000000000003,79.6,77.39999999999999,-1.0,13.200000000000003,2,-2.0
2009-09-28,-2.200000000000003,79.6,77.39999999999999,1.0,14.200000000000003,2,0.0
2009-09-29,-2.200000000000003,81.6,79.39999999999999,1.0,15.200000000000003,2,2.0
2009-09-30,-2.200000000000003,79.6,77.39999999999999,-1.0,14.200000000000003,2,-2.0
2009-10-01,-2.200000000000003,77.6,75.39999999999999,-1.0,13.200000000000003,2,-2.0
2009-10-02,-2.200000000000003,73.6,71.39999999999999,-3.0,10.200000000000003,2,-4.0
2009-10-05,-2.200000000000003,73.6,71.39999999999999,1.0,11.200000000000003,2,0.0
2009-10-06,-2.200000000000003,77.6,75.39999999999999,1.0,12.200000000000003,2,4.0
2009-10-07,-2.200000000000003,77.6,75.39999999999999,1.0,13.200000000000003,2,0.0
2009-10-08,-2.200000000000003,77.6,75.39999999999999,1.0,14.200000000000003,2,0.0
2009-10-09,-2.200000000000003,79.6,77.39999999999999,1.0,15.200000000000003,2,2.0
2009-10-12,-2.200000000000003,81.6,79.39999999999999,1.0,16.200000000000003,2,2.0
2009-10-13,-2.200000000000003,81.6,79.39999999999999,1.0,17.200000000000003,2,0.0
2009-10-14,-2.200000000000003,83.6,81.39999999999999,1.0,18.200000000000003,2,2.0
2009-10-15,-2.200000000000003,85.6,83.39999999999999,1.0,19.200000000000003,2,2.0
2009-10-16,-2.200000000000003,85.6,83.39999999999999,1.0,20.200000000000003,2,0.0
2009-10-19,-2.200000000000003,85.6,83.39999999999999,1.0,21.200000000000003,2,0.0
2009-10-20,-2.200000000000003,85.6,83.39999999999999,1.0,22.200000000000003,2,0.0
2009-10-21,-2.200000000000003,83.6,81.39999999999999,-1.0,21.200000000000003,2,-2.0
2009-10-22,-2.200000000000003,89.6,87.39999999999999,1.0,22.200000000000003,2,6.0
2009-10-23,-2.200000000000003,91.6,89.39999999999999,1.0,23.200000000000003,2,2.0
2009-10-26,-2.200000000000003,89.6,87.39999999999999,-1.0,22.200000000000003,2,-2.0
2009-10-27,-2.200000000000003,87.6,85.39999999999999,-1.0,21.200000000000003,2,-2.0
2009-10-28,-2.200000000000003,85.6,83.39999999999999,-1.0,20.200000000000003,2,-2.0
2009-10-29,-2.200000000000003,81.6,79.39999999999999,-3.0,17.200000000000003,2,-4.0
2009-10-30,-2.200000000000003,81.6,79.39999999999999,1.0,18.200000000000003,2,0.0
2009-11-02,-2.200000000000003,79.6,77.39999999999999,-1.0,17.200000000000003,2,-2.0
2009-11-03,-2.200000000000003,79.6,77.39999999999999,1.0,18.200000000000003,2,0.0
2009-11-04,-2.200000000000003,81.6,79.39999999999999,1.0,19.200000000000003,2,2.0
2009-11-05,-2.200000000000003,81.6,79.39999999999999,1.0,20.200000000000003,2,0.0
2009-11-06,-2.200000000000003,81.6,79.39999999999999,1.0,21.200000000000003,2,0.0
2009-11-09,-2.200000000000003,83.6,81.39999999999999,1.0,22.200000000000003,2,2.0
2009-11-10,-2.200000000000003,87.6,85.39999999999999,1.0,23.200000000000003,2,4.0
2009-11-11,-2.200000000000003,89.6,87.39999999999999,1.0,24.200000000000003,2,2.0
2009-11-12,-2.200000000000003,89.6,87.39999999999999,1.0,25.200000000000003,2,0.0
2009-11-13,-2.200000000000003,87.6,85.39999999999999,-1.0,24.200000000000003,2,-2.0
2009-11-16,-2.200000000000003,89.6,87.39999999999999,1.0,25.200000000000003,2,2.0
2009-11-17,-2.200000000000003,89.6,87.39999999999999,1.0,26.200000000000003,2,0.0
2009-11-18,-2.200000000000003,89.6,87.39999999999999,1.0,27.200000000000003,2,0.0
2009-11-19,-2.200000000000003,87.6,85.39999999999999,-1.0,26.200000000000003,2,-2.0
2009-11-20,-2.200000000000003,87.6,85.39999999999999,1.0,27.200000000000003,2,0.0
2009-11-23,-2.200000000000003,87.6,85.39999999999999,1.0,28.200000000000003,2,0.0
2009-11-24,-2.200000000000003,89.6,87.39999999999999,1.0,29.200000000000003,2,2.0
2009-11-25,-2.200000000000003,89.6,87.39999999999999,1.0,30.200000000000003,2,0.0
2009-11-27,-2.200000000000003,85.6,83.39999999999999,-3.0,27.200000000000003,2,-4.0
2009-11-30,-2.200000000000003,87.6,85.39999999999999,1.0,28.200000000000003,2,2.0
2009-12-01,-2.200000000000003,89.6,87.39999999999999,1.0,29.200000000000003,2,2.0
2009-12-02,-2.200000000000003,91.6,89.39999999999999,1.0,30.200000000000003,2,2.0
2009-12-03,-2.200000000000003,91.6,89.39999999999999,1.0,31.200000000000003,2,0.0
2009-12-04,-2.200000000000003,89.6,87.39999999999999,-1.0,30.200000000000003,2,-2.0
2009-12-07,-2.200000000000003,89.6,87.39999999999999,1.0,31.200000000000003,2,0.0
2009-12-08,-2.200000000000003,85.6,83.39999999999999,-3.0,28.200000000000003,2,-4.0
2009-12-09,-2.200000000000003,89.6,87.39999999999999,1.0,29.200000000000003,2,4.0
2009-12-10,-2.200000000000003,95.6,93.39999999999999,1.0,30.200000000000003,2,6.0
2009-12-11,-2.200000000000003,97.6,95.39999999999999,1.0,31.200000000000003,2,2.0
2009-12-14,-2.200000000000003,99.6,97.39999999999999,1.0,32.2,2,2.0
2009-12-15,-2.200000000000003,101.6,99.39999999999999,1.0,33.2,2,2.0
2009-12-16,-2.200000000000003,101.6,99.39999999999999,1.0,34.2,2,0.0
2009-12-17,-2.200000000000003,99.6,97.39999999999999,-1.0,33.2,2,-2.0
2009-12-18,-2.200000000000003,97.6,95.39999999999999,-1.0,32.2,2,-2.0
2009-12-21,-2.200000000000003,97.6,95.39999999999999,1.0,33.2,2,0.0
2009-12-22,-2.200000000000003,99.6,97.39999999999999,1.0,34.2,2,2.0
2009-12-23,-2.200000000000003,99.6,97.39999999999999,1.0,35.2,2,0.0
2009-12-24,-2.200000000000003,101.6,99.39999999999999,1.0,36.2,2,2.0
2009-12-28,-2.200000000000003,101.6,99.39999999999999,1.0,37.2,2,0.0
2009-12-29,-2.200000000000003,105.6,103.39999999999999,1.0,38.2,2,4.0
2009-12-30,-2.200000000000003,105.6,103.39999999999999,1.0,39.2,2,0.0
2009-12-31,-2.200000000000003,105.6,103.39999999999999,1.0,40.2,2,0.0
2010-01-04,-2.200000000000003,103.6,101.39999999999999,-1.0,39.2,2,-2.0
2010-01-05,-2.200000000000003,101.6,99.39999999999999,-1.0,38.2,2,-2.0
2010-01-06,-2.200000000000003,105.6,103.39999999999999,1.0,39.2,2,4.0
2010-01-07,-2.200000000000003,103.6,101.39999999999999,-1.0,38.2,2,-2.0
2010-01-08,-2.200000000000003,105.6,103.39999999999999,1.0,39.2,2,2.0
2010-01-11,-2.200000000000003,107.6,105.39999999999999,1.0,40.2,2,2.0
2010-01-12,-2.200000000000003,105.6,103.39999999999999,-1.0,39.2,2,-2.0
2010-01-13,-2.200000000000003,105.6,103.39999999999999,1.0,40.2,2,0.0
2010-01-14,-2.200000000000003,105.6,103.39999999999999,1.0,41.2,2,0.0
2010-01-15,-2.200000000000003,103.6,101.39999999999999,-1.0,40.2,2,-2.0
2010-01-19,-2.200000000000003,105.6,103.39999999999999,1.0,41.2,2,2.0
2010-01-20,-2.200000000000003,107.6,105.39999999999999,1.0,42.2,2,2.0
2010-01-21,-2.200000000000003,107.6,105.39999999999999,1.0,43.2,2,0.0
2010-01-22,-2.200000000000003,101.6,99.39999999999999,-5.0,38.2,2,-6.0
2010-01-25,-2.200000000000003,101.6,99.39999999999999,1.0,39.2,2,0.0
2010-01-26,-2.200000000000003,99.6,97.39999999999999,-1.0,38.2,2,-2.0
2010-01-27,-2.200000000000003,99.6,97.39999999999999,1.0,39.2,2,0.0
