Date,MMM
2011-02-14,6078.0
2011-02-15,6078.0
2011-02-16,6078.0
2011-02-17,6079.0
2011-02-18,6080.0
2011-02-22,6080.0
2011-02-23,6079.0
2011-02-24,6077.0
2011-02-25,6076.0
2011-02-28,6078.0
2011-03-01,6079.0
2011-03-02,6076.0
2011-03-03,6078.0
2011-03-04,6080.0
2011-03-07,6079.0
2011-03-08,6079.0
2011-03-09,6081.0
2011-03-10,6079.0
2011-03-11,6076.0
2011-03-14,6078.0
2011-03-15,6075.0
2011-03-16,6075.0
2011-03-17,6074.0
2011-03-18,6076.0
2011-03-21,6076.0
2011-03-22,6077.0
2011-03-23,6077.0
2011-03-24,6079.0
2011-03-25,6080.0
2011-03-28,6079.0
2011-03-29,6079.0
2011-03-30,6080.0
2011-03-31,6079.0
2011-04-01,6081.0
2011-04-04,6080.0
2011-04-05,6081.0
2011-04-06,6081.0
2011-04-07,6081.0
2011-04-08,6081.0
2011-04-11,6081.0
2011-04-12,6080.0
2011-04-13,6080.0
2011-04-14,6079.0
2011-04-15,6080.0
2011-04-18,6079.0
2011-04-19,6078.0
2011-04-20,6080.0
2011-04-21,6081.0
2011-04-25,6081.0
2011-04-26,6083.0
2011-04-27,6083.0
2011-04-28,6084.0
2011-04-29,6085.0
2011-05-02,6086.0
2011-05-03,6085.0
2011-05-04,6085.0
2011-05-05,6083.0
2011-05-06,6084.0
2011-05-09,6083.0
2011-05-10,6084.0
2011-05-11,6084.0
2011-05-12,6083.0
2011-05-13,6085.0
2011-05-16,6083.0
2011-05-17,6083.0
2011-05-18,6081.0
2011-05-19,6082.0
2011-05-20,6082.0
2011-05-23,6079.0
2011-05-24,6080.0
2011-05-25,6078.0
2011-05-26,6079.0
2011-05-27,6081.0
2011-05-31,6081.0
2011-06-01,6082.0
2011-06-02,6078.0
2011-06-03,6076.0
2011-06-06,6076.0
2011-06-07,6077.0
2011-06-08,6077.0
2011-06-09,6078.0
2011-06-10,6078.0
2011-06-13,6077.0
2011-06-14,6079.0
2011-06-15,6078.0
2011-06-16,6077.0
